onset	duration	sample	value
1969.25948	100	1969259.4796	124 
1969.443476	100	1969443.4758	127 
1969.446999	1	1969446.9988	DIN1
1969.503473	100	1969503.4734	128 
1971.705473	100	1971705.4732	124 
1971.891471	100	1971891.4709	127 
1971.893998	1	1971893.9983	DIN1
1971.951479	100	1971951.4787	128 
1974.253478	100	1974253.4779	124 
1974.441477	100	1974441.4772	126 
1974.445	1	1974445.0003	DIN1
1974.501475	100	1974501.4749	128 
1976.802478	100	1976802.4783	124 
1976.991473	100	1976991.4735	127 
1976.994001	1	1976994.0008	DIN1
1977.051471	100	1977051.4711	128 
1979.352475	100	1979352.4745	124 
1979.54148	100	1979541.4797	125 
1979.543997	1	1979543.997	DIN1
1979.601477	100	1979601.4774	128 
1981.912479	100	1981912.4788	666 
1984.914474	100	1984914.4741	124 
1985.105471	100	1985105.4709	125 
1985.107998	1	1985107.9982	DIN1
1985.165479	100	1985165.4786	128 
1987.567477	100	1987567.4773	124 
1987.758474	100	1987758.474	126 
1987.761997	1	1987761.9971	DIN1
1987.818472	100	1987818.4717	128 
1990.021477	100	1990021.4772	124 
1990.205473	100	1990205.4734	125 
1990.208001	1	1990208.0007	DIN1
1990.265471	100	1990265.4711	128 
1992.66748	100	1992667.4798	124 
1992.859472	100	1992859.4723	125 
1992.861004	1	1992861.0038	DIN1
1992.91948	100	1992919.48	128 
1995.120474	100	1995120.4739	124 
1995.306472	100	1995306.4717	125 
1995.308003	1	1995308.0032	DIN1
1995.366479	100	1995366.4794	128 
1997.768478	100	1997768.478	124 
1997.959475	100	1997959.4748	125 
1997.960996	1	1997960.9963	DIN1
1998.019472	100	1998019.4725	128 
2000.421471	100	2000421.4711	124 
2000.612478	100	2000612.4779	125 
2000.613999	1	2000613.9994	DIN1
2000.672476	100	2000672.4756	128 
2002.983477	100	2002983.4769	666 
2005.985472	100	2005985.4723	124 
2006.176479	100	2006176.4791	125 
2006.178001	1	2006178.0006	DIN1
2006.236477	100	2006236.4768	128 
2008.638475	100	2008638.4754	124 
2008.829472	100	2008829.4722	125 
2008.831004	1	2008831.0037	DIN1
2008.88948	100	2008889.4799	128 
2011.291479	100	2011291.4785	124 
2011.483471	100	2011483.471	125 
2011.485003	1	2011485.0026	DIN1
2011.543479	100	2011543.4788	128 
2013.844472	100	2013844.4721	124 
2014.033477	100	2014033.4773	125 
2014.034999	1	2014034.9988	DIN1
2014.093475	100	2014093.475	128 
2016.394478	100	2016394.4784	124 
2016.583474	100	2016583.4736	125 
2016.585005	1	2016585.0051	DIN1
2016.643471	100	2016643.4712	128 
2018.944475	100	2018944.4746	124 
2019.13348	100	2019133.4798	125 
2019.135001	1	2019135.0013	DIN1
