DIN1,749.5379977838993
109 ,749.595341788644
105 ,751.897340970153
106 ,752.0853403527681
DIN1,752.0889998393059
109 ,752.14533801567
105 ,754.5473366547767
106 ,754.7383434642497
DIN1,754.7420029507875
109 ,754.7983411271516
105 ,757.1003403086606
108 ,757.2893354613725
DIN1,757.2919991778135
109 ,757.3493431825582
105 ,759.6503365356866
106 ,759.8393417466823
DIN1,759.8420054631233
109 ,759.8993394095842
105 ,762.1003433633987
108 ,762.2863411475364
DIN1,762.2890048639774
109 ,762.3463388104383
105 ,764.6483379919473
106 ,764.8363373745624
DIN1,764.8390010910034
109 ,764.8963350374643
105 ,767.1983342189733
107 ,767.3863436598722
DIN1,767.39000314641
109 ,767.4463413227741
105 ,769.8483399618808
106 ,770.03933671307
DIN1,770.0420004295111
109 ,770.0993343759719
105 ,772.3013340998832
107 ,772.4873419423047
DIN1,772.4900056587458
109 ,772.5473396052066
105 ,774.8483430166189
106 ,775.0373381693307
DIN1,775.0389960573912
109 ,775.0973358322326
105 ,777.2993355561439
106 ,777.4843375701848
DIN1,777.4860055165291
109 ,777.5443352330867
105 ,779.746334956998
107 ,779.931336971039
DIN1,779.93400068748
109 ,779.9913346339408
105 ,782.2933338154498
106 ,782.4813432563487
DIN1,782.483996914506
109 ,782.5413409192506
105 ,784.9433395583574
106 ,785.1343363095466
DIN1,785.1370000259876
109 ,785.1943339724485
105 ,787.3973395247403
106 ,787.5823415387813
DIN1,787.5839994268417
109 ,787.6423392016832
105 ,789.8443389255945
106 ,790.0293409396354
DIN1,790.0309988276958
109 ,790.0893386025373
105 ,792.491337241644
108 ,792.6823339928333
DIN1,792.6840019391775
109 ,792.742341714019
105 ,795.044340895528
106 ,795.232340278143
DIN1,795.2339981662035
109 ,795.2923379410449
105 ,797.594337122554
108 ,797.782336505169
DIN1,797.7840044515133
109 ,797.8423341680709
105 ,800.1443434078637
107 ,800.3323427904788
DIN1,800.334996448636
109 ,800.3923404533807
105 ,802.6953354049865
106 ,802.8833347876016
DIN1,802.8839969055653
109 ,802.9433425087873
105 ,805.3443353195134
106 ,805.5363378990833
DIN1,805.5370000170469
109 ,805.5963355619851
105 ,807.7973395157996
108 ,807.9833372999374
DIN1,807.9850052462816
109 ,808.0433349628393
105 ,810.4453436602298
106 ,810.636340411419
DIN1,810.6379982994795
109 ,810.6963380743209
105 ,812.8983377982322
106 ,813.0833398122732
DIN1,813.0849977003336
109 ,813.143337475175
105 ,815.445336656684
106 ,815.6333360392991
DIN1,815.6350039856434
109 ,815.6933437604848
105 ,818.0953423995916
106 ,818.2873349208776
DIN1,818.2879970388412
109 ,818.3473426420633
105 ,820.548336537594
106 ,820.7343343217317
DIN1,820.7349964396954
109 ,820.7943420429174
105 ,823.0953353960458
108 ,823.2843406070415
DIN1,823.2850027250051
109 ,823.3443382699434
105 ,825.7463369090501
107 ,825.9373437185232
DIN1,825.9390016065836
109 ,825.997341381425
105 ,828.3993400205318
106 ,828.590336771721
DIN1,828.5909988896847
109 ,828.6503344346229
105 ,831.0533389021102
106 ,831.2433398832027
DIN1,831.2440020011663
109 ,831.3033375461046
105 ,833.6063425559942
107 ,833.7943419386093
DIN1,833.7950040565729
109 ,833.8543396015111
105 ,836.2553424705211
108 ,836.4473349918071
DIN1,836.4479971097708
109 ,836.5073427129928
105 ,838.908335523719
106 ,839.1003381032888
DIN1,839.1010002212524
109 ,839.1603357661907
105 ,841.5623344052974
106 ,841.7533412147704
DIN1,841.7540033327341
109 ,841.8133388776723
105 ,844.2163433451597
106 ,844.4063342679683
DIN1,844.406996385932
109 ,844.466341989154
105 ,846.768341170663
107 ,846.9573363233749
DIN1,846.9579984413385
109 ,847.0173339862768
105 ,849.2183379400913
DIN1,849.4040020720959
106 ,849.404335724229
109 ,849.4643434454147
105 ,851.666343169326
DIN1,851.85100147295
108 ,851.8513351250831
109 ,851.9113428462688
105 ,854.1123367417995
DIN1,854.2980008738041
106 ,854.2983345259372
109 ,854.3583422471229
105 ,856.5603419710342
DIN1,856.7450002746582
106 ,856.7453339267913
109 ,856.805341647977
105 ,859.0073413718883
DIN1,859.1919996755123
106 ,859.1923433859292
109 ,859.2523410488311
105 ,861.4543407727424
DIN1,861.6389990763664
106 ,861.6393427867833
109 ,861.6993404496852
105 ,864.0013396311942
DIN1,864.1890053616762
106 ,864.1903347839061
109 ,864.2503425050918
105 ,866.5513358582202
DIN1,866.739997358799
106 ,866.7403410692159
109 ,866.8003387321178
105 ,869.1023379136268
DIN1,869.2900036441088
107 ,869.2903372962419
109 ,869.3503349591438
105 ,871.651338370556
DIN1,871.8399998711348
106 ,871.8403435815517
109 ,871.9003412444536
105 ,874.1013351399843
DIN1,874.2869992719889
106 ,874.2873429824058
109 ,874.3473406453077
105 ,876.549340369219
DIN1,876.733998672843
108 ,876.7343423832599
109 ,876.7943400461618
105 ,878.9973355401698
DIN1,879.1809980736971
108 ,879.181341784114
109 ,879.2413394470159
105 ,881.5433386285249
DIN1,881.7310043590069
106 ,881.7323337812368
109 ,881.7923415024225
105 ,884.1943401415292
DIN1,884.3850032405853
107 ,884.3853368927184
109 ,884.4453345556203
105 ,886.8463374246303
DIN1,887.0370005236864
106 ,887.0383400042001
109 ,887.098337667102
105 ,889.400336848611
DIN1,889.5869967507124
106 ,889.5883362312261
109 ,889.648333894128
105 ,891.8503436763231
DIN1,892.0339961515665
106 ,892.0353356320802
109 ,892.0953433532659
105 ,894.4983377624694
DIN1,894.6880050914287
106 ,894.6893345136587
109 ,894.7493422348443
105 ,897.0503355879728
DIN1,897.2380013184547
106 ,897.2393407989684
109 ,897.2993384618703
105 ,899.5003424156848
DIN1,899.6850007193088
106 ,899.6863401998226
109 ,899.7463378627244
105 ,902.0473412741367
DIN1,902.2349969463348
106 ,902.2363364268485
109 ,902.2963340897504
105 ,904.5983433295432
DIN1,904.7850032316446
106 ,904.7863427121583
109 ,904.8463403750602
110 ,907.1473437864724
boundary,910.633
104 ,910.7103525846321
105 ,910.714345723303
106 ,910.7183489202578
109 ,910.7203505187351
DIN1,910.7440039875507
105 ,913.0223497002441
106 ,913.2083474843819
DIN1,913.2159982236624
109 ,913.2683552055676
105 ,915.6693480162937
106 ,915.8613505958635
DIN1,915.8699971052408
109 ,915.9213482587654
105 ,918.1233479826767
106 ,918.3083499967177
DIN1,918.3169965060949
109 ,918.3683476596195
105 ,920.7703462987263
106 ,920.9613531081993
DIN1,920.9699996175766
109 ,921.0213507711012
105 ,923.2233504950125
106 ,923.4083525090534
DIN1,923.4169990184307
109 ,923.4683501719553
105 ,925.7703493534643
